Gene	Slope	P-value
RP4-633I8.4	RP4-633I8.4	RP4-633I8.4
RPL23AP19	RPL23AP19	RPL23AP19
ENO1	ENO1	ENO1
MIR6728	MIR6728	MIR6728
ENO1-IT1	ENO1-IT1	ENO1-IT1
ENO1-AS1	ENO1-AS1	ENO1-AS1
RNU6-304P	RNU6-304P	RNU6-304P
HMGN2P17	HMGN2P17	HMGN2P17
RP3-477M7.5	RP3-477M7.5	RP3-477M7.5
RP3-477M7.6	RP3-477M7.6	RP3-477M7.6
CA6	CA6	CA6
RN7SL451P	RN7SL451P	RN7SL451P
SLC2A7	SLC2A7	SLC2A7
SLC2A5	SLC2A5	SLC2A5
SCARNA16	SCARNA16	SCARNA16
GPR157	GPR157	GPR157
MIR34AHG	MIR34AHG	MIR34AHG
LINC01759	LINC01759	LINC01759
RP3-510D11.4	RP3-510D11.4	RP3-510D11.4
H6PD	H6PD	H6PD
SPSB1	SPSB1	SPSB1
RNA5SP40	RNA5SP40	RNA5SP40
RP13-392I16.1	RP13-392I16.1	RP13-392I16.1
SLC25A33	SLC25A33	SLC25A33
RP13-15M17.1	RP13-15M17.1	RP13-15M17.1
TMEM201	TMEM201	TMEM201
PIK3CD	PIK3CD	PIK3CD
PIK3CD-AS1	PIK3CD-AS1	PIK3CD-AS1
RP11-558F24.2	RP11-558F24.2	RP11-558F24.2
PIK3CD-AS2	PIK3CD-AS2	PIK3CD-AS2
CLSTN1	CLSTN1	CLSTN1
MZT1P1	MZT1P1	MZT1P1
RP11-84A14.7	RP11-84A14.7	RP11-84A14.7
CTNNBIP1	CTNNBIP1	CTNNBIP1
LZIC	LZIC	LZIC
RP11-84A14.4	RP11-84A14.4	RP11-84A14.4
NMNAT1	NMNAT1	NMNAT1
RN7SKP269	RN7SKP269	RN7SKP269
RP11-84A14.6	RP11-84A14.6	RP11-84A14.6
MIR5697	MIR5697	MIR5697
RBP7	RBP7	RBP7
UBE4B	UBE4B	UBE4B
RP11-496H15.2	RP11-496H15.2	RP11-496H15.2
PGAM1P11	PGAM1P11	PGAM1P11
RNU6-828P	RNU6-828P	RNU6-828P
KIF1B	KIF1B	KIF1B
MIR1273D	MIR1273D	MIR1273D
RNU6-37P	RNU6-37P	RNU6-37P
PGD	PGD	PGD
RP4-736L20.3	RP4-736L20.3	RP4-736L20.3
CENPS	CENPS	CENPS
CORT	CORT	CORT
DFFA	DFFA	DFFA
PEX14	PEX14	PEX14
RN7SL614P	RN7SL614P	RN7SL614P
CASZ1	CASZ1	CASZ1
RP4-734G22.3	RP4-734G22.3	RP4-734G22.3
HSPE1P24	HSPE1P24	HSPE1P24
C1orf127	C1orf127	C1orf127
CFL1P6	CFL1P6	CFL1P6
TARDBP	TARDBP	TARDBP
MASP2	MASP2	MASP2
RP4-635E18.8	RP4-635E18.8	RP4-635E18.8
SRM	SRM	SRM
EXOSC10	EXOSC10	EXOSC10
RP4-635E18.7	RP4-635E18.7	RP4-635E18.7
RP4-635E18.6	RP4-635E18.6	RP4-635E18.6
MTOR	MTOR	MTOR
MTOR-AS1	MTOR-AS1	MTOR-AS1
RNU6-537P	RNU6-537P	RNU6-537P
ANGPTL7	ANGPTL7	ANGPTL7
RNU6-291P	RNU6-291P	RNU6-291P
RPL39P6	RPL39P6	RPL39P6
UBIAD1	UBIAD1	UBIAD1
UBE2V2P3	UBE2V2P3	UBE2V2P3
MTCYBP45	MTCYBP45	MTCYBP45
DISP3	DISP3	DISP3
LINC01647	LINC01647	LINC01647
FBXO2	FBXO2	FBXO2
FBXO44	FBXO44	FBXO44
FBXO6	FBXO6	FBXO6
MAD2L2	MAD2L2	MAD2L2
DRAXIN	DRAXIN	DRAXIN
AGTRAP	AGTRAP	AGTRAP
C1orf167	C1orf167	C1orf167
RP11-56N19.5	RP11-56N19.5	RP11-56N19.5
MTHFR	MTHFR	MTHFR
CLCN6	CLCN6	CLCN6
NPPA-AS1	NPPA-AS1	NPPA-AS1
NPPA	NPPA	NPPA
NPPB	NPPB	NPPB
RP5-934G17.6	RP5-934G17.6	RP5-934G17.6
RNU5E-1	RNU5E-1	RNU5E-1
RNU5E-4P	RNU5E-4P	RNU5E-4P
KIAA2013	KIAA2013	KIAA2013
PLOD1	PLOD1	PLOD1
MFN2	MFN2	MFN2
RP5-1077B9.5	RP5-1077B9.5	RP5-1077B9.5
MIIP	MIIP	MIIP
MIR6729	MIR6729	MIR6729
RN7SL649P	RN7SL649P	RN7SL649P
TNFRSF8	TNFRSF8	TNFRSF8
RNU6-777P	RNU6-777P	RNU6-777P
RPL23AP89	RPL23AP89	RPL23AP89
MIR7846	MIR7846	MIR7846
TNFRSF1B	TNFRSF1B	TNFRSF1B
MIR4632	MIR4632	MIR4632
RPL10P17	RPL10P17	RPL10P17
SNORA70	SNORA70	SNORA70
VPS13D	VPS13D	VPS13D
SNORA59A	SNORA59A	SNORA59A
RP5-888M10.2	RP5-888M10.2	RP5-888M10.2
DHRS3	DHRS3	DHRS3
