Gene	Slope	P-value
MIR603	MIR603	MIR603
RP11-144I2.1	RP11-144I2.1	RP11-144I2.1
ARHGAP21	ARHGAP21	ARHGAP21
RNA5SP305	RNA5SP305	RNA5SP305
PRTFDC1	PRTFDC1	PRTFDC1
RP11-129O7.2	RP11-129O7.2	RP11-129O7.2
RN7SKP241	RN7SKP241	RN7SKP241
RP11-165A20.3	RP11-165A20.3	RP11-165A20.3
ENKUR	ENKUR	ENKUR
THNSL1	THNSL1	THNSL1
LINC01516	LINC01516	LINC01516
GPR158-AS1	GPR158-AS1	GPR158-AS1
GPR158	GPR158	GPR158
RP11-20I6.1	RP11-20I6.1	RP11-20I6.1
RN7SKP220	RN7SKP220	RN7SKP220
GPN3P1	GPN3P1	GPN3P1
LINC00836	LINC00836	LINC00836
HIRAP1	HIRAP1	HIRAP1
RNA5SP306	RNA5SP306	RNA5SP306
RNU6-632P	RNU6-632P	RNU6-632P
RP11-435M3.2	RP11-435M3.2	RP11-435M3.2
MYO3A	MYO3A	MYO3A
GAD2	GAD2	GAD2
APBB1IP	APBB1IP	APBB1IP
RNA5SP307	RNA5SP307	RNA5SP307
RP11-128B16.5	RP11-128B16.5	RP11-128B16.5
LINC00264	LINC00264	LINC00264
RP13-16H11.7	RP13-16H11.7	RP13-16H11.7
LINC00202-2	LINC00202-2	LINC00202-2
RP13-16H11.9	RP13-16H11.9	RP13-16H11.9
RP13-16H11.8	RP13-16H11.8	RP13-16H11.8
PDSS1	PDSS1	PDSS1
HSPA8P3	HSPA8P3	HSPA8P3
RP13-16H11.5	RP13-16H11.5	RP13-16H11.5
ABI1	ABI1	ABI1
RNU6-946P	RNU6-946P	RNU6-946P
LINC00202-1	LINC00202-1	LINC00202-1
ANKRD26	ANKRD26	ANKRD26
RNU6-490P	RNU6-490P	RNU6-490P
YME1L1	YME1L1	YME1L1
MASTL	MASTL	MASTL
RNU2-24P	RNU2-24P	RNU2-24P
ACBD5	ACBD5	ACBD5
RNU7-12P	RNU7-12P	RNU7-12P
RP11-85G18.6	RP11-85G18.6	RP11-85G18.6
LRRC37A6P	LRRC37A6P	LRRC37A6P
ARMC4P1	ARMC4P1	ARMC4P1
RP11-748L13.7	RP11-748L13.7	RP11-748L13.7
RNU6-666P	RNU6-666P	RNU6-666P
RP11-748L13.2	RP11-748L13.2	RP11-748L13.2
RNU6-452P	RNU6-452P	RNU6-452P
RP11-748L13.6	RP11-748L13.6	RP11-748L13.6
FAM210CP	FAM210CP	FAM210CP
TRIAP1P1	TRIAP1P1	TRIAP1P1
PTCHD3	PTCHD3	PTCHD3
RAB18	RAB18	RAB18
MKX	MKX	MKX
MKX-AS1	MKX-AS1	MKX-AS1
RN7SKP132	RN7SKP132	RN7SKP132
ARMC4	ARMC4	ARMC4
RPL36AP55	RPL36AP55	RPL36AP55
RP11-218D6.4	RP11-218D6.4	RP11-218D6.4
MRPS21P5	MRPS21P5	MRPS21P5
MPP7	MPP7	MPP7
MIR8086	MIR8086	MIR8086
RP11-351M16.4	RP11-351M16.4	RP11-351M16.4
ZNF101P1	ZNF101P1	ZNF101P1
RP11-351M16.3	RP11-351M16.3	RP11-351M16.3
RPSAP10	RPSAP10	RPSAP10
RN7SKP39	RN7SKP39	RN7SKP39
WAC-AS1	WAC-AS1	WAC-AS1
WAC	WAC	WAC
RNU4ATAC6P	RNU4ATAC6P	RNU4ATAC6P
TPRKBP1	TPRKBP1	TPRKBP1
RNU6-1067P	RNU6-1067P	RNU6-1067P
BAMBI	BAMBI	BAMBI
RP11-478H13.1	RP11-478H13.1	RP11-478H13.1
RNU6-270P	RNU6-270P	RNU6-270P
LINC00837	LINC00837	LINC00837
LINC01517	LINC01517	LINC01517
RP11-478H13.4	RP11-478H13.4	RP11-478H13.4
C10orf126	C10orf126	C10orf126
RNA5SP308	RNA5SP308	RNA5SP308
RPL21P93	RPL21P93	RPL21P93
LYZL1	LYZL1	LYZL1
SVIL-AS1	SVIL-AS1	SVIL-AS1
SVIL	SVIL	SVIL
MIR604	MIR604	MIR604
SNORD115	SNORD115	SNORD115
MIR938	MIR938	MIR938
CKS1BP2	CKS1BP2	CKS1BP2
RNU6-908P	RNU6-908P	RNU6-908P
RP11-224P11.1	RP11-224P11.1	RP11-224P11.1
KIAA1462	KIAA1462	KIAA1462
RNU6-598P	RNU6-598P	RNU6-598P
EEF1A1P39	EEF1A1P39	EEF1A1P39
RP11-305E6.4	RP11-305E6.4	RP11-305E6.4
MTPAP	MTPAP	MTPAP
DNM1P17	DNM1P17	DNM1P17
GOLGA2P6	GOLGA2P6	GOLGA2P6
RN7SL241P	RN7SL241P	RN7SL241P
MIR7162	MIR7162	MIR7162
NIFKP1	NIFKP1	NIFKP1
RP11-449I17.9	RP11-449I17.9	RP11-449I17.9
CCND3P1	CCND3P1	CCND3P1
MAP3K8	MAP3K8	MAP3K8
HNRNPA1P32	HNRNPA1P32	HNRNPA1P32
RP11-253D19.1	RP11-253D19.1	RP11-253D19.1
RN7SL63P	RN7SL63P	RN7SL63P
RP11-253D19.2	RP11-253D19.2	RP11-253D19.2
LYZL2	LYZL2	LYZL2
SVILP1	SVILP1	SVILP1
RP11-14C22.6	RP11-14C22.6	RP11-14C22.6
ZNF438	ZNF438	ZNF438
RP11-330O11.3	RP11-330O11.3	RP11-330O11.3
DDX10P1	DDX10P1	DDX10P1
RP11-192P3.4	RP11-192P3.4	RP11-192P3.4
ZEB1-AS1	ZEB1-AS1	ZEB1-AS1
RNA5SP309	RNA5SP309	RNA5SP309
ZEB1	ZEB1	ZEB1
SPTLC1P1	SPTLC1P1	SPTLC1P1
RP11-472N13.2	RP11-472N13.2	RP11-472N13.2
GLUDP5	GLUDP5	GLUDP5
RP11-472N13.3	RP11-472N13.3	RP11-472N13.3
ARHGAP12	ARHGAP12	ARHGAP12
HMGB1P7	HMGB1P7	HMGB1P7
RPL34P19	RPL34P19	RPL34P19
RN7SL825P	RN7SL825P	RN7SL825P
KIF5B	KIF5B	KIF5B
RPS4XP11	RPS4XP11	RPS4XP11
RP11-241I20.4	RP11-241I20.4	RP11-241I20.4
RP11-241I20.5	RP11-241I20.5	RP11-241I20.5
RNU7-22P	RNU7-22P	RNU7-22P
PPIAP31	PPIAP31	PPIAP31
RPS24P13	RPS24P13	RPS24P13
RP11-166N17.1	RP11-166N17.1	RP11-166N17.1
EPC1	EPC1	EPC1
RP11-166N17.3	RP11-166N17.3	RP11-166N17.3
RP11-135A24.4	RP11-135A24.4	RP11-135A24.4
RP11-135A24.2	RP11-135A24.2	RP11-135A24.2
RNU6-1244P	RNU6-1244P	RNU6-1244P
CCDC7	CCDC7	CCDC7
C1DP1	C1DP1	C1DP1
RP11-479G22.8	RP11-479G22.8	RP11-479G22.8
ITGB1	ITGB1	ITGB1
AK3P5	AK3P5	AK3P5
RP11-462L8.1	RP11-462L8.1	RP11-462L8.1
MTND4LP11	MTND4LP11	MTND4LP11
RN7SL847P	RN7SL847P	RN7SL847P
RP11-479G22.7	RP11-479G22.7	RP11-479G22.7
RPL7AP53	RPL7AP53	RPL7AP53
RP11-342D11.3	RP11-342D11.3	RP11-342D11.3
NRP1	NRP1	NRP1
RP11-342D11.2	RP11-342D11.2	RP11-342D11.2
RN7SL398P	RN7SL398P	RN7SL398P
RP11-90B22.1	RP11-90B22.1	RP11-90B22.1
RP11-476F14.1	RP11-476F14.1	RP11-476F14.1
RP13-259N13.2	RP13-259N13.2	RP13-259N13.2
LINC00838	LINC00838	LINC00838
RPL23P11	RPL23P11	RPL23P11
RP11-490O24.2	RP11-490O24.2	RP11-490O24.2
PARD3	PARD3	PARD3
ELOBP4	ELOBP4	ELOBP4
RPL37P18	RPL37P18	RPL37P18
RPS12P16	RPS12P16	RPS12P16
PARD3-AS1	PARD3-AS1	PARD3-AS1
SS18L2P1	SS18L2P1	SS18L2P1
RNU6-847P	RNU6-847P	RNU6-847P
RNU6-193P	RNU6-193P	RNU6-193P
PRDX2P2	PRDX2P2	PRDX2P2
RP11-297A16.4	RP11-297A16.4	RP11-297A16.4
CUL2	CUL2	CUL2
MIR3611	MIR3611	MIR3611
RP11-297A16.2	RP11-297A16.2	RP11-297A16.2
CREM	CREM	CREM
RNU7-77P	RNU7-77P	RNU7-77P
ATP6V1G1P4	ATP6V1G1P4	ATP6V1G1P4
RP11-324I22.3	RP11-324I22.3	RP11-324I22.3
RP11-324I22.2	RP11-324I22.2	RP11-324I22.2
RNU6-794P	RNU6-794P	RNU6-794P
CCNY	CCNY	CCNY
RNU6-1167P	RNU6-1167P	RNU6-1167P
RP11-324I22.4	RP11-324I22.4	RP11-324I22.4
RP11-425A6.5	RP11-425A6.5	RP11-425A6.5
GJD4	GJD4	GJD4
FZD8	FZD8	FZD8
RPL7P37	RPL7P37	RPL7P37
PCAT5	PCAT5	PCAT5
RP11-309N24.1	RP11-309N24.1	RP11-309N24.1
RP11-810B23.1	RP11-810B23.1	RP11-810B23.1
MTND5P17	MTND5P17	MTND5P17
MTND4P18	MTND4P18	MTND4P18
RP11-92J19.3	RP11-92J19.3	RP11-92J19.3
NAMPTP1	NAMPTP1	NAMPTP1
RP11-322I2.1	RP11-322I2.1	RP11-322I2.1
MKNK2P1	MKNK2P1	MKNK2P1
ARL6IP1P2	ARL6IP1P2	ARL6IP1P2
ANKRD30A	ANKRD30A	ANKRD30A
RNU6-811P	RNU6-811P	RNU6-811P
RP11-20F24.2	RP11-20F24.2	RP11-20F24.2
ATP8A2P1	ATP8A2P1	ATP8A2P1
RN7SL314P	RN7SL314P	RN7SL314P
LINC00993	LINC00993	LINC00993
TMEM161BP1	TMEM161BP1	TMEM161BP1
VN1R53P	VN1R53P	VN1R53P
TACC1P1	TACC1P1	TACC1P1
MTND1P18	MTND1P18	MTND1P18
MTRNR2L7	MTRNR2L7	MTRNR2L7
RP11-258F22.1	RP11-258F22.1	RP11-258F22.1
RP11-258F22.2	RP11-258F22.2	RP11-258F22.2
ZNF33BP1	ZNF33BP1	ZNF33BP1
ZNF248	ZNF248	ZNF248
TLK2P2	TLK2P2	TLK2P2
RP11-162G10.5	RP11-162G10.5	RP11-162G10.5
ZNF37CP	ZNF37CP	ZNF37CP
ZNF33CP	ZNF33CP	ZNF33CP
ZNF25	ZNF25	ZNF25
RP11-393J16.4	RP11-393J16.4	RP11-393J16.4
ZNF33A	ZNF33A	ZNF33A
RNU6-795P	RNU6-795P	RNU6-795P
RP11-1021O19.2	RP11-1021O19.2	RP11-1021O19.2
EIF3LP3	EIF3LP3	EIF3LP3
FXYD6P2	FXYD6P2	FXYD6P2
ZNF37A	ZNF37A	ZNF37A
RP11-508N22.12	RP11-508N22.12	RP11-508N22.12
RP11-508N22.6	RP11-508N22.6	RP11-508N22.6
RP11-508N22.9	RP11-508N22.9	RP11-508N22.9
RP11-672F9.1	RP11-672F9.1	RP11-672F9.1
RP11-508N22.11	RP11-508N22.11	RP11-508N22.11
HSD17B7P2	HSD17B7P2	HSD17B7P2
SEPT7P9	SEPT7P9	SEPT7P9
RP11-291L22.9	RP11-291L22.9	RP11-291L22.9
RNU6-1118P	RNU6-1118P	RNU6-1118P
CICP9	CICP9	CICP9
RP11-291L22.4	RP11-291L22.4	RP11-291L22.4
ABCD1P2	ABCD1P2	ABCD1P2
RP11-453N3.7	RP11-453N3.7	RP11-453N3.7
PABPC1P12	PABPC1P12	PABPC1P12
SLC9B1P3	SLC9B1P3	SLC9B1P3
ACTR3BP5	ACTR3BP5	ACTR3BP5
CHEK2P5	CHEK2P5	CHEK2P5
RP11-453N3.1	RP11-453N3.1	RP11-453N3.1
RP11-96F8.1	RP11-96F8.1	RP11-96F8.1
KSR1P1	KSR1P1	KSR1P1
IGKV1OR10-1	IGKV1OR10-1	IGKV1OR10-1
AL031601.4	AL031601.4	AL031601.4
AL031601.5	AL031601.5	AL031601.5
PABPC1P8	PABPC1P8	PABPC1P8
RP11-313J2.1	RP11-313J2.1	RP11-313J2.1
CCNYL2	CCNYL2	CCNYL2
LINC00839	LINC00839	LINC00839
ZNF37BP	ZNF37BP	ZNF37BP
FXYD6P1	FXYD6P1	FXYD6P1
EIF3LP2	EIF3LP2	EIF3LP2
ZNF33B	ZNF33B	ZNF33B
AL022345.10	AL022345.10	AL022345.10
AL022345.7	AL022345.7	AL022345.7
AL022345.11	AL022345.11	AL022345.11
RNU6-1170P	RNU6-1170P	RNU6-1170P
VN1R54P	VN1R54P	VN1R54P
LINC01518	LINC01518	LINC01518
CUBNP1	CUBNP1	CUBNP1
AL022344.5	AL022344.5	AL022344.5
RSU1P1	RSU1P1	RSU1P1
DUXAP3	DUXAP3	DUXAP3
AL022344.7	AL022344.7	AL022344.7
BMS1	BMS1	BMS1
RP11-124O11.1	RP11-124O11.1	RP11-124O11.1
LINC01264	LINC01264	LINC01264
MIR5100	MIR5100	MIR5100
RET	RET	RET
RP11-351D16.3	RP11-351D16.3	RP11-351D16.3
CSGALNACT2	CSGALNACT2	CSGALNACT2
RASGEF1A	RASGEF1A	RASGEF1A
RP11-168L22.2	RP11-168L22.2	RP11-168L22.2
RNU6ATAC11P	RNU6ATAC11P	RNU6ATAC11P
FXYD4	FXYD4	FXYD4
HNRNPF	HNRNPF	HNRNPF
RP11-517P14.2	RP11-517P14.2	RP11-517P14.2
ZNF487	ZNF487	ZNF487
RNU7-193P	RNU7-193P	RNU7-193P
RP11-517P14.7	RP11-517P14.7	RP11-517P14.7
ZNF239	ZNF239	ZNF239
CAP1P2	CAP1P2	CAP1P2
ZNF485	ZNF485	ZNF485
ZNF32-AS3	ZNF32-AS3	ZNF32-AS3
RP11-402L1.4	RP11-402L1.4	RP11-402L1.4
RPL21P88	RPL21P88	RPL21P88
ZNF32	ZNF32	ZNF32
ZNF32-AS1	ZNF32-AS1	ZNF32-AS1
ZNF32-AS2	ZNF32-AS2	ZNF32-AS2
RP11-402L1.11	RP11-402L1.11	RP11-402L1.11
RP11-272J7.6	RP11-272J7.6	RP11-272J7.6
UQCRHP3	UQCRHP3	UQCRHP3
ELOCP30	ELOCP30	ELOCP30
RP11-272J7.4	RP11-272J7.4	RP11-272J7.4
HNRNPA3P1	HNRNPA3P1	HNRNPA3P1
LINC00619	LINC00619	LINC00619
LINC00840	LINC00840	LINC00840
RP11-168P8.5	RP11-168P8.5	RP11-168P8.5
RP11-168P8.3	RP11-168P8.3	RP11-168P8.3
LINC00841	LINC00841	LINC00841
RP11-20J15.2	RP11-20J15.2	RP11-20J15.2
RP11-20J15.3	RP11-20J15.3	RP11-20J15.3
C10orf142	C10orf142	C10orf142
CXCL12	CXCL12	CXCL12
RPL9P21	RPL9P21	RPL9P21
RP11-733D4.2	RP11-733D4.2	RP11-733D4.2
RP11-733D4.1	RP11-733D4.1	RP11-733D4.1
EIF2AP4	EIF2AP4	EIF2AP4
TMEM72-AS1	TMEM72-AS1	TMEM72-AS1
RP11-285G1.2	RP11-285G1.2	RP11-285G1.2
TMEM72	TMEM72	TMEM72
RP11-285G1.9	RP11-285G1.9	RP11-285G1.9
RP11-285G1.14	RP11-285G1.14	RP11-285G1.14
RASSF4	RASSF4	RASSF4
C10orf10	C10orf10	C10orf10
C10orf25	C10orf25	C10orf25
ZNF22	ZNF22	ZNF22
CEP164P1	CEP164P1	CEP164P1
DUXAP4	DUXAP4	DUXAP4
RPS19P7	RPS19P7	RPS19P7
RSU1P2	RSU1P2	RSU1P2
CUBNP3	CUBNP3	CUBNP3
ANKRD54P1	ANKRD54P1	ANKRD54P1
ANKRD30BP3	ANKRD30BP3	ANKRD30BP3
MIR3156-1	MIR3156-1	MIR3156-1
RP11-445N18.5	RP11-445N18.5	RP11-445N18.5
RP11-432I13.5	RP11-432I13.5	RP11-432I13.5
RP11-432I13.6	RP11-432I13.6	RP11-432I13.6
RNU6-1207P	RNU6-1207P	RNU6-1207P
CUBNP2	CUBNP2	CUBNP2
OR6D1P	OR6D1P	OR6D1P
OR13A1	OR13A1	OR13A1
ALOX5	ALOX5	ALOX5
RP11-67C2.2	RP11-67C2.2	RP11-67C2.2
MARCH8	MARCH8	MARCH8
ZFAND4	ZFAND4	ZFAND4
AGAP10P	AGAP10P	AGAP10P
FAM21FP	FAM21FP	FAM21FP
RP11-671E7.1	RP11-671E7.1	RP11-671E7.1
WASHC2C	WASHC2C	WASHC2C
RP11-175I17.6	RP11-175I17.6	RP11-175I17.6
FAM25E	FAM25E	FAM25E
AGAP4	AGAP4	AGAP4
PARGP1	PARGP1	PARGP1
RNA5SP310	RNA5SP310	RNA5SP310
RPL35AP25	RPL35AP25	RPL35AP25
TIMM23	TIMM23	TIMM23
NCOA4	NCOA4	NCOA4
MSMB	MSMB	MSMB
RPL23AP61	RPL23AP61	RPL23AP61
AGAP7P	AGAP7P	AGAP7P
ANTXRLP1	ANTXRLP1	ANTXRLP1
ANTXRL	ANTXRL	ANTXRL
AGAP14	AGAP14	AGAP14
FAM25BP	FAM25BP	FAM25BP
ANXA8L1	ANXA8L1	ANXA8L1
HNRNPA1P33	HNRNPA1P33	HNRNPA1P33
NPY4R	NPY4R	NPY4R
GPRIN2	GPRIN2	GPRIN2
SYT15	SYT15	SYT15
RP11-38L15.3	RP11-38L15.3	RP11-38L15.3
RP11-38L15.2	RP11-38L15.2	RP11-38L15.2
FAM35BP	FAM35BP	FAM35BP
RP11-38L15.8	RP11-38L15.8	RP11-38L15.8
RHEBP1	RHEBP1	RHEBP1
RN7SL248P	RN7SL248P	RN7SL248P
CTSLP2	CTSLP2	CTSLP2
GLUD1P2	GLUD1P2	GLUD1P2
DUSP8P3	DUSP8P3	DUSP8P3
BMS1P1	BMS1P1	BMS1P1
RNA5SP311	RNA5SP311	RNA5SP311
AGAP13P	AGAP13P	AGAP13P
FRMPD2B	FRMPD2B	FRMPD2B
PTPN20	PTPN20	PTPN20
GDF10	GDF10	GDF10
GDF2	GDF2	GDF2
RBP3	RBP3	RBP3
ZNF488	ZNF488	ZNF488
ANXA8	ANXA8	ANXA8
RP11-144G6.13	RP11-144G6.13	RP11-144G6.13
FAM25G	FAM25G	FAM25G
RP11-144G6.4	RP11-144G6.4	RP11-144G6.4
AGAP9	AGAP9	AGAP9
RNA5SP312	RNA5SP312	RNA5SP312
BMS1P2	BMS1P2	BMS1P2
GLUD1P8	GLUD1P8	GLUD1P8
DUSP8P4	DUSP8P4	DUSP8P4
RP11-342C24.8	RP11-342C24.8	RP11-342C24.8
FAM35DP	FAM35DP	FAM35DP
RN7SL453P	RN7SL453P	RN7SL453P
RHEBP2	RHEBP2	RHEBP2
ABC7-42404400C24.1	ABC7-42404400C24.1	ABC7-42404400C24.1
CH17-360D5.2	CH17-360D5.2	CH17-360D5.2
CH17-360D5.1	CH17-360D5.1	CH17-360D5.1
CH17-360D5.3	CH17-360D5.3	CH17-360D5.3
FAM25C	FAM25C	FAM25C
AGAP12P	AGAP12P	AGAP12P
RNA5SP315	RNA5SP315	RNA5SP315
BMS1P7	BMS1P7	BMS1P7
PTPN20CP	PTPN20CP	PTPN20CP
FRMPD2	FRMPD2	FRMPD2
RPS6P14	RPS6P14	RPS6P14
MAPK8	MAPK8	MAPK8
RP11-541M12.6	RP11-541M12.6	RP11-541M12.6
ARHGAP22	ARHGAP22	ARHGAP22
ARHGAP22-IT1	ARHGAP22-IT1	ARHGAP22-IT1
RP11-541M12.3	RP11-541M12.3	RP11-541M12.3
RP11-534L6.5	RP11-534L6.5	RP11-534L6.5
RP11-534L6.2	RP11-534L6.2	RP11-534L6.2
WDFY4	WDFY4	WDFY4
RPL13AP19	RPL13AP19	RPL13AP19
RP11-563N6.6	RP11-563N6.6	RP11-563N6.6
RP11-523O18.7	RP11-523O18.7	RP11-523O18.7
LRRC18	LRRC18	LRRC18
RP11-523O18.5	RP11-523O18.5	RP11-523O18.5
RP11-523O18.1	RP11-523O18.1	RP11-523O18.1
MIR4294	MIR4294	MIR4294
VSTM4	VSTM4	VSTM4
FAM170B-AS1	FAM170B-AS1	FAM170B-AS1
FAM170B	FAM170B	FAM170B
C10orf128	C10orf128	C10orf128
C10orf71-AS1	C10orf71-AS1	C10orf71-AS1
C10orf71	C10orf71	C10orf71
DRGX	DRGX	DRGX
RP11-123B3.2	RP11-123B3.2	RP11-123B3.2
ERCC6	ERCC6	ERCC6
HMGB1P50	HMGB1P50	HMGB1P50
CHAT	CHAT	CHAT
SLC18A3	SLC18A3	SLC18A3
C10orf53	C10orf53	C10orf53
OGDHL	OGDHL	OGDHL
MAPK6PS6	MAPK6PS6	MAPK6PS6
RPL21P89	RPL21P89	RPL21P89
PARG	PARG	PARG
RPL35AP24	RPL35AP24	RPL35AP24
TIMM23B	TIMM23B	TIMM23B
LINC00843	LINC00843	LINC00843
RNA5SP317	RNA5SP317	RNA5SP317
AGAP6	AGAP6	AGAP6
FAM21EP	FAM21EP	FAM21EP
SLC9A3P3	SLC9A3P3	SLC9A3P3
WASHC2A	WASHC2A	WASHC2A
SLC9A3P1	SLC9A3P1	SLC9A3P1
ASAH2	ASAH2	ASAH2
DYNC1I2P1	DYNC1I2P1	DYNC1I2P1
SGMS1	SGMS1	SGMS1
RP11-521C22.2	RP11-521C22.2	RP11-521C22.2
RP11-512N4.2	RP11-512N4.2	RP11-512N4.2
RNU7-107P	RNU7-107P	RNU7-107P
SGMS1-AS1	SGMS1-AS1	SGMS1-AS1
SHQ1P1	SHQ1P1	SHQ1P1
BEND3P1	BEND3P1	BEND3P1
NUTM2HP	NUTM2HP	NUTM2HP
RP11-564C4.4	RP11-564C4.4	RP11-564C4.4
CTSLP4	CTSLP4	CTSLP4
PGGT1BP1	PGGT1BP1	PGGT1BP1
ASAH2B	ASAH2B	ASAH2B
A1CF	A1CF	A1CF
RP11-449O16.2	RP11-449O16.2	RP11-449O16.2
CCDC58P2	CCDC58P2	CCDC58P2
RP11-96B5.4	RP11-96B5.4	RP11-96B5.4
PRKG1	PRKG1	PRKG1
RP11-96B5.3	RP11-96B5.3	RP11-96B5.3
RP11-40C11.2	RP11-40C11.2	RP11-40C11.2
MIR605	MIR605	MIR605
RP11-539E19.2	RP11-539E19.2	RP11-539E19.2
RSU1P3	RSU1P3	RSU1P3
CSTF2T	CSTF2T	CSTF2T
PRKG1-AS1	PRKG1-AS1	PRKG1-AS1
DKK1	DKK1	DKK1
RPL31P44	RPL31P44	RPL31P44
THAP12P3	THAP12P3	THAP12P3
LINC01468	LINC01468	LINC01468
RP11-556E13.1	RP11-556E13.1	RP11-556E13.1
MBL2	MBL2	MBL2
RP11-319F12.2	RP11-319F12.2	RP11-319F12.2
SNRPEP8	SNRPEP8	SNRPEP8
RP11-71J2.1	RP11-71J2.1	RP11-71J2.1
RNA5SP318	RNA5SP318	RNA5SP318
RP11-449J3.3	RP11-449J3.3	RP11-449J3.3
PCDH15	PCDH15	PCDH15
RNU6-687P	RNU6-687P	RNU6-687P
RP11-257I14.1	RP11-257I14.1	RP11-257I14.1
NEFMP1	NEFMP1	NEFMP1
MIR548F1	MIR548F1	MIR548F1
RP11-264A11.1	RP11-264A11.1	RP11-264A11.1
RP11-168O22.1	RP11-168O22.1	RP11-168O22.1
RP11-598C10.2	RP11-598C10.2	RP11-598C10.2
RP11-598C10.1	RP11-598C10.1	RP11-598C10.1
MTRNR2L5	MTRNR2L5	MTRNR2L5
GAPDHP21	GAPDHP21	GAPDHP21
RP11-478B11.2	RP11-478B11.2	RP11-478B11.2
ZWINT	ZWINT	ZWINT
MIR3924	MIR3924	MIR3924
RP11-550A9.1	RP11-550A9.1	RP11-550A9.1
RP11-448K10.1	RP11-448K10.1	RP11-448K10.1
MRPS35P3	MRPS35P3	MRPS35P3
RP11-123G9.1	RP11-123G9.1	RP11-123G9.1
IPMK	IPMK	IPMK
TPT1P10	TPT1P10	TPT1P10
CISD1	CISD1	CISD1
RP11-179B15.5	RP11-179B15.5	RP11-179B15.5
RP11-179B15.6	RP11-179B15.6	RP11-179B15.6
UBE2D1	UBE2D1	UBE2D1
TFAM	TFAM	TFAM
BICC1	BICC1	BICC1
FAM133CP	FAM133CP	FAM133CP
RN7SKP196	RN7SKP196	RN7SKP196
LINC00844	LINC00844	LINC00844
RPLP1P10	RPLP1P10	RPLP1P10
TRAF6P1	TRAF6P1	TRAF6P1
PHYHIPL	PHYHIPL	PHYHIPL
FAM13C	FAM13C	FAM13C
RP11-443O13.3	RP11-443O13.3	RP11-443O13.3
MRPL50P4	MRPL50P4	MRPL50P4
RP11-135D11.2	RP11-135D11.2	RP11-135D11.2
SLC16A9	SLC16A9	SLC16A9
MRLN	MRLN	MRLN
CCDC6	CCDC6	CCDC6
LINC01553	LINC01553	LINC01553
ANK3	ANK3	ANK3
RP11-388P9.2	RP11-388P9.2	RP11-388P9.2
RP11-388P9.3	RP11-388P9.3	RP11-388P9.3
ARL4AP1	ARL4AP1	ARL4AP1
RP11-131N11.4	RP11-131N11.4	RP11-131N11.4
CDK1	CDK1	CDK1
RHOBTB1	RHOBTB1	RHOBTB1
RNU2-72P	RNU2-72P	RNU2-72P
LINC00845	LINC00845	LINC00845
TMEM26	TMEM26	TMEM26
TMEM26-AS1	TMEM26-AS1	TMEM26-AS1
C10orf107	C10orf107	C10orf107
RP11-63A2.2	RP11-63A2.2	RP11-63A2.2
RP11-491H19.1	RP11-491H19.1	RP11-491H19.1
ARID5B	ARID5B	ARID5B
RTKN2	RTKN2	RTKN2
RP11-120C12.3	RP11-120C12.3	RP11-120C12.3
RN7SL591P	RN7SL591P	RN7SL591P
ZNF365	ZNF365	ZNF365
ALDH7A1P4	ALDH7A1P4	ALDH7A1P4
RP11-436D10.3	RP11-436D10.3	RP11-436D10.3
ADO	ADO	ADO
EGR2	EGR2	EGR2
RNU6-543P	RNU6-543P	RNU6-543P
RP11-144G16.1	RP11-144G16.1	RP11-144G16.1
NRBF2	NRBF2	NRBF2
JMJD1C	JMJD1C	JMJD1C
TATDN1P1	TATDN1P1	TATDN1P1
RP11-351O1.4	RP11-351O1.4	RP11-351O1.4
MIR1296	MIR1296	MIR1296
PRELID1P3	PRELID1P3	PRELID1P3
JMJD1C-AS1	JMJD1C-AS1	JMJD1C-AS1
RP11-351O1.3	RP11-351O1.3	RP11-351O1.3
REEP3	REEP3	REEP3
MRPL35P2	MRPL35P2	MRPL35P2
RP11-111N20.4	RP11-111N20.4	RP11-111N20.4
RP11-170M17.1	RP11-170M17.1	RP11-170M17.1
RPL7AP50	RPL7AP50	RPL7AP50
RP11-174J11.1	RP11-174J11.1	RP11-174J11.1
DBF4P1	DBF4P1	DBF4P1
RPL17P35	RPL17P35	RPL17P35
CYP2C61P	CYP2C61P	CYP2C61P
ANXA2P3	ANXA2P3	ANXA2P3
RP11-179K3.2	RP11-179K3.2	RP11-179K3.2
NEK4P3	NEK4P3	NEK4P3
RP11-252C24.3	RP11-252C24.3	RP11-252C24.3
MYL6P3	MYL6P3	MYL6P3
RP11-252C24.2	RP11-252C24.2	RP11-252C24.2
RP11-428G2.1	RP11-428G2.1	RP11-428G2.1
LINC01515	LINC01515	LINC01515
CTNNA3	CTNNA3	CTNNA3
RP11-210G22.1	RP11-210G22.1	RP11-210G22.1
RP11-65E10.1	RP11-65E10.1	RP11-65E10.1
LRRTM3	LRRTM3	LRRTM3
RP11-344A5.1	RP11-344A5.1	RP11-344A5.1
RPL7AP51	RPL7AP51	RPL7AP51
MIR7151	MIR7151	MIR7151
AKR1B10P1	AKR1B10P1	AKR1B10P1
RPL21P92	RPL21P92	RPL21P92
DNAJC12	DNAJC12	DNAJC12
RNU6-1250P	RNU6-1250P	RNU6-1250P
RN7SL394P	RN7SL394P	RN7SL394P
DNAJC19P1	DNAJC19P1	DNAJC19P1
RP11-57G10.8	RP11-57G10.8	RP11-57G10.8
RNU6-523P	RNU6-523P	RNU6-523P
RPL12P8	RPL12P8	RPL12P8
